#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 196000      9.50e-01      4.45e-03      4.94e-02    3.7e-04
 197000      1.42e+00      4.03e-03      7.38e-02    3.7e-04
 198000      1.15e+00      4.65e-03      5.97e-02    3.7e-04
 199000      1.19e+00      1.34e-02      6.18e-02    3.7e-04
 200000      1.20e+00      7.40e-03      6.31e-02    3.6e-04
 201000      9.40e-01      1.64e-03      4.96e-02    3.6e-04
 202000      1.07e+00      1.11e-03      5.63e-02    3.6e-04
 203000      1.01e+00      8.42e-03      5.28e-02    3.6e-04
 204000      9.83e-01      2.25e-03      5.18e-02    3.6e-04
 205000      7.96e-01      1.53e-02      4.17e-02    3.5e-04
 206000      1.21e+00      1.10e-02      6.45e-02    3.5e-04
 207000      9.24e-01      1.01e-02      4.90e-02    3.5e-04
 208000      1.17e+00      2.07e-02      6.14e-02    3.5e-04
 209000      1.11e+00      2.78e-03      5.90e-02    3.5e-04
 210000      1.07e+00      8.98e-03      5.78e-02    3.4e-04
 211000      1.06e+00      1.13e-04      5.71e-02    3.4e-04
 212000      1.18e+00      9.22e-04      6.41e-02    3.4e-04
 213000      1.01e+00      1.60e-02      5.35e-02    3.4e-04
 214000      9.94e-01      5.35e-03      5.37e-02    3.4e-04
 215000      8.34e-01      2.05e-03      4.57e-02    3.3e-04
 216000      9.73e-01      3.19e-03      5.33e-02    3.3e-04
 217000      1.04e+00      1.06e-03      5.68e-02    3.3e-04
 218000      1.18e+00      1.67e-03      6.45e-02    3.3e-04
 219000      1.17e+00      3.13e-02      6.14e-02    3.3e-04
 220000      8.54e-01      5.80e-03      4.73e-02    3.2e-04
 221000      1.18e+00      4.99e-03      6.52e-02    3.2e-04
 222000      8.18e-01      4.65e-03      4.53e-02    3.2e-04
 223000      9.67e-01      3.11e-03      5.36e-02    3.2e-04
 224000      9.28e-01      8.83e-03      5.12e-02    3.2e-04
 225000      6.67e-01      2.88e-03      3.75e-02    3.2e-04
 226000      1.23e+00      1.13e-02      6.86e-02    3.2e-04
 227000      7.99e-01      2.10e-04      4.50e-02    3.2e-04
 228000      9.78e-01      4.52e-03      5.49e-02    3.2e-04
 229000      1.04e+00      3.32e-03      5.84e-02    3.2e-04
 230000      8.39e-01      8.20e-04      4.78e-02    3.1e-04
 231000      1.00e+00      7.76e-03      5.69e-02    3.1e-04
 232000      1.13e+00      1.67e-02      6.36e-02    3.1e-04
 233000      1.03e+00      1.08e-03      5.87e-02    3.1e-04
 234000      1.13e+00      6.77e-03      6.43e-02    3.1e-04
 235000      1.20e+00      2.54e-03      6.94e-02    3.0e-04
 236000      8.46e-01      2.96e-03      4.88e-02    3.0e-04
 237000      1.14e+00      1.89e-03      6.57e-02    3.0e-04
 238000      9.57e-01      1.67e-04      5.52e-02    3.0e-04
 239000      8.52e-01      2.28e-03      4.91e-02    3.0e-04
 240000      8.70e-01      1.07e-02      5.04e-02    2.9e-04
 241000      1.04e+00      1.54e-03      6.07e-02    2.9e-04
 242000      7.76e-01      4.10e-04      4.54e-02    2.9e-04
 243000      9.81e-01      1.55e-02      5.64e-02    2.9e-04
 244000      1.03e+00      4.66e-03      6.02e-02    2.9e-04
 245000      9.08e-01      8.18e-05      5.37e-02    2.8e-04
 246000      8.33e-01      1.13e-02      4.88e-02    2.8e-04
 247000      8.26e-01      6.22e-03      4.87e-02    2.8e-04
 248000      1.18e+00      6.52e-03      6.95e-02    2.8e-04
 249000      1.31e+00      5.82e-03      7.72e-02    2.8e-04
